Lat,Lon
90,0
-90,0
84.89138831,0
84.89138831,60
84.89138831,120
84.89138831,180
84.89138831,240
84.89138831,300
-84.89138831,0
-84.89138831,60
-84.89138831,120
-84.89138831,180
-84.89138831,240
-84.89138831,300
79.78168668,0
79.78168668,30
79.78168668,60
79.78168668,90
79.78168668,120
79.78168668,150
79.78168668,180
79.78168668,210
79.78168668,240
79.78168668,270
79.78168668,300
79.78168668,330
-79.78168668,0
-79.78168668,30
-79.78168668,60
-79.78168668,90
-79.78168668,120
-79.78168668,150
-79.78168668,180
-79.78168668,210
-79.78168668,240
-79.78168668,270
-79.78168668,300
-79.78168668,330
74.66983885,0
74.66983885,21.17647059
74.66983885,42.35294118
74.66983885,63.52941177
74.66983885,84.70588235
74.66983885,105.8823529
74.66983885,127.0588235
74.66983885,148.2352941
74.66983885,169.4117647
74.66983885,190.5882353
74.66983885,211.7647059
74.66983885,232.9411765
74.66983885,254.1176471
74.66983885,275.2941176
74.66983885,296.4705882
74.66983885,317.6470588
74.66983885,338.8235294
-74.66983885,0
-74.66983885,21.17647059
-74.66983885,42.35294118
-74.66983885,63.52941177
-74.66983885,84.70588235
-74.66983885,105.8823529
-74.66983885,127.0588235
-74.66983885,148.2352941
-74.66983885,169.4117647
-74.66983885,190.5882353
-74.66983885,211.7647059
-74.66983885,232.9411765
-74.66983885,254.1176471
-74.66983885,275.2941176
-74.66983885,296.4705882
-74.66983885,317.6470588
-74.66983885,338.8235294
69.554855,0
69.554855,15.65217391
69.554855,31.30434783
69.554855,46.95652174
69.554855,62.60869565
69.554855,78.26086957
69.554855,93.91304348
69.554855,109.5652174
69.554855,125.2173913
69.554855,140.8695652
69.554855,156.5217391
69.554855,172.173913
69.554855,187.826087
69.554855,203.4782609
69.554855,219.1304348
69.554855,234.7826087
69.554855,250.4347826
69.554855,266.0869565
69.554855,281.7391304
69.554855,297.3913043
69.554855,313.0434783
69.554855,328.6956522
69.554855,344.3478261
-69.554855,0
-69.554855,15.65217391
-69.554855,31.30434783
-69.554855,46.95652174
-69.554855,62.60869565
-69.554855,78.26086957
-69.554855,93.91304348
-69.554855,109.5652174
-69.554855,125.2173913
-69.554855,140.8695652
-69.554855,156.5217391
-69.554855,172.173913
-69.554855,187.826087
-69.554855,203.4782609
-69.554855,219.1304348
-69.554855,234.7826087
-69.554855,250.4347826
-69.554855,266.0869565
-69.554855,281.7391304
-69.554855,297.3913043
-69.554855,313.0434783
-69.554855,328.6956522
-69.554855,344.3478261
64.43584267,0
64.43584267,12.4137931
64.43584267,24.82758621
64.43584267,37.24137931
64.43584267,49.65517241
64.43584267,62.06896552
64.43584267,74.48275862
64.43584267,86.89655172
64.43584267,99.31034483
64.43584267,111.7241379
64.43584267,124.137931
64.43584267,136.5517241
64.43584267,148.9655172
64.43584267,161.3793103
64.43584267,173.7931034
64.43584267,186.2068966
64.43584267,198.6206897
64.43584267,211.0344828
64.43584267,223.4482759
64.43584267,235.862069
64.43584267,248.2758621
64.43584267,260.6896552
64.43584267,273.1034483
64.43584267,285.5172414
64.43584267,297.9310345
64.43584267,310.3448276
64.43584267,322.7586207
64.43584267,335.1724138
64.43584267,347.5862069
-64.43584267,0
-64.43584267,12.4137931
-64.43584267,24.82758621
-64.43584267,37.24137931
-64.43584267,49.65517241
-64.43584267,62.06896552
-64.43584267,74.48275862
-64.43584267,86.89655172
-64.43584267,99.31034483
-64.43584267,111.7241379
-64.43584267,124.137931
-64.43584267,136.5517241
-64.43584267,148.9655172
-64.43584267,161.3793103
-64.43584267,173.7931034
-64.43584267,186.2068966
-64.43584267,198.6206897
-64.43584267,211.0344828
-64.43584267,223.4482759
-64.43584267,235.862069
-64.43584267,248.2758621
-64.43584267,260.6896552
-64.43584267,273.1034483
-64.43584267,285.5172414
-64.43584267,297.9310345
-64.43584267,310.3448276
-64.43584267,322.7586207
-64.43584267,335.1724138
-64.43584267,347.5862069
59.31203507,0
59.31203507,10.58823529
59.31203507,21.17647059
59.31203507,31.76470588
59.31203507,42.35294118
59.31203507,52.94117647
59.31203507,63.52941177
59.31203507,74.11764706
59.31203507,84.70588235
59.31203507,95.29411765
59.31203507,105.8823529
59.31203507,116.4705882
59.31203507,127.0588235
59.31203507,137.6470588
59.31203507,148.2352941
